Datetime,Open,High,Low,Close,Volume
2026-03-02 09:30:00,79.89,80.63,79.62,80.25,869246
2026-03-02 09:31:00,80.06,80.59,79.42,80.18,1627549
2026-03-02 09:32:00,80.71,80.78,80.49,80.5,1057110
2026-03-02 09:33:00,81.37,81.56,81.1,81.26,1017916
2026-03-02 09:34:00,81.11,81.19,81.05,81.15,1226754
2026-03-02 09:35:00,81.15,82.03,80.83,81.03,1038947
2026-03-02 09:36:00,81.82,81.94,81.48,81.82,1189505
2026-03-02 09:37:00,82.05,82.33,81.76,82.2,724076
2026-03-02 09:38:00,81.84,82.23,81.56,81.97,1102617
2026-03-02 09:39:00,82.39,82.54,82.05,82.24,1086384
2026-03-02 09:40:00,82.17,82.39,81.65,82.01,1141660
2026-03-02 09:41:00,81.85,82.17,81.77,81.78,823625
2026-03-02 09:42:00,81.86,82.12,81.66,81.9,971096
2026-03-02 09:43:00,80.78,81.03,80.21,80.94,1042658
2026-03-02 09:44:00,80.08,80.32,79.88,80.08,1187514
2026-03-02 09:45:00,79.47,80.03,79.24,79.8,812019
2026-03-02 09:46:00,79.46,79.51,79.21,79.29,599227
2026-03-02 09:47:00,79.57,79.95,79.43,79.45,1055475
2026-03-02 09:48:00,79.27,79.66,78.09,78.99,1036769
2026-03-02 09:49:00,78.65,79.02,78.22,78.29,901672
2026-03-02 09:50:00,79.18,79.47,78.88,79.02,1101094
2026-03-02 09:51:00,79.12,79.95,78.79,78.91,898207
2026-03-02 09:52:00,78.94,79.47,78.73,78.94,918143
2026-03-02 09:53:00,78.12,78.27,77.88,78.23,1224206
2026-03-02 09:54:00,77.96,77.96,77.86,77.96,1031038
2026-03-02 09:55:00,78.18,78.44,77.81,78.01,939254
2026-03-02 09:56:00,77.17,77.68,77.02,77.44,1174877
2026-03-02 09:57:00,77.68,77.73,77.37,77.62,972525
2026-03-02 09:58:00,77.4,77.43,77.24,77.32,883448
2026-03-02 09:59:00,76.69,77.22,76.26,77.18,1185243
2026-03-02 10:00:00,77.07,77.44,76.85,76.88,1039463
2026-03-02 10:01:00,77.68,77.9,77.49,77.8,1240776
2026-03-02 10:02:00,77.77,77.93,77.77,77.8,1120241
2026-03-02 10:03:00,76.98,77.96,76.81,77.27,755857
2026-03-02 10:04:00,77.58,77.72,77.44,77.68,1290493
2026-03-02 10:05:00,77.13,77.22,76.88,77.07,772233
2026-03-02 10:06:00,77.38,77.4,76.97,77.17,785628
2026-03-02 10:07:00,75.88,76.44,75.77,76.19,819589
2026-03-02 10:08:00,75.35,75.87,75.0,75.53,1328534
2026-03-02 10:09:00,75.45,75.82,75.35,75.63,1120637
2026-03-02 10:10:00,75.89,76.05,75.88,76.0,799562
2026-03-02 10:11:00,76.23,76.38,76.01,76.08,801130
2026-03-02 10:12:00,75.51,76.08,74.79,76.02,1156920
2026-03-02 10:13:00,75.87,75.95,75.86,75.87,1109423
2026-03-02 10:14:00,74.9,75.47,74.68,75.13,1143637
2026-03-02 10:15:00,74.86,74.87,74.57,74.77,1118362
2026-03-02 10:16:00,74.47,74.72,74.44,74.54,1309804
2026-03-02 10:17:00,74.83,75.51,74.78,75.07,1010177
2026-03-02 10:18:00,75.28,75.35,75.18,75.24,1297972
2026-03-02 10:19:00,74.04,74.61,74.01,74.36,671362
2026-03-02 10:20:00,74.49,75.02,74.48,74.53,1046140
2026-03-02 10:21:00,74.08,74.52,73.97,74.33,936456
2026-03-02 10:22:00,74.25,74.42,73.66,73.99,1049300
2026-03-02 10:23:00,74.4,74.74,73.83,74.3,796981
2026-03-02 10:24:00,74.65,75.19,74.58,74.82,1093271
2026-03-02 10:25:00,75.48,75.5,75.19,75.28,1030351
2026-03-02 10:26:00,74.69,75.49,74.21,74.86,1036948
2026-03-02 10:27:00,75.11,75.11,74.65,74.71,928510
2026-03-02 10:28:00,74.84,75.28,74.17,74.87,1306686
2026-03-02 10:29:00,75.08,75.44,74.95,75.36,1117710
2026-03-02 10:30:00,74.8,75.26,74.19,75.12,727365
2026-03-02 10:31:00,75.07,75.26,74.9,75.03,1003829
2026-03-02 10:32:00,74.35,74.62,73.81,74.47,961819
2026-03-02 10:33:00,74.02,74.41,73.59,73.88,1094481
2026-03-02 10:34:00,74.58,74.69,74.19,74.28,999858
2026-03-02 10:35:00,74.71,75.14,74.45,74.96,909581
2026-03-02 10:36:00,74.83,75.0,74.7,74.93,986773
2026-03-02 10:37:00,75.85,75.92,75.32,75.43,870491
2026-03-02 10:38:00,75.76,75.81,75.41,75.61,1264260
2026-03-02 10:39:00,75.57,75.75,74.73,75.29,1201502
2026-03-02 10:40:00,75.33,75.7,74.74,75.47,1178519
2026-03-02 10:41:00,75.99,76.45,75.99,76.23,809212
2026-03-02 10:42:00,76.14,76.42,76.1,76.22,1116882
2026-03-02 10:43:00,77.39,77.86,76.51,77.0,1020871
2026-03-02 10:44:00,75.51,76.09,75.45,75.69,1184330
2026-03-02 10:45:00,76.07,76.55,75.64,76.1,997582
2026-03-02 10:46:00,75.89,76.25,75.63,76.14,915847
2026-03-02 10:47:00,75.47,76.05,75.34,75.99,1080858
2026-03-02 10:48:00,76.29,76.61,75.84,76.04,1238501
2026-03-02 10:49:00,74.69,75.14,74.54,75.05,983695
2026-03-02 10:50:00,75.01,75.15,74.73,74.94,1006830
2026-03-02 10:51:00,74.9,75.44,74.69,75.12,770241
2026-03-02 10:52:00,75.99,76.13,75.34,75.85,864487
2026-03-02 10:53:00,75.83,76.13,75.46,75.59,1092412
2026-03-02 10:54:00,75.35,75.42,75.01,75.19,1284473
2026-03-02 10:55:00,75.29,75.58,74.91,74.94,838346
2026-03-02 10:56:00,75.23,75.55,75.11,75.4,1280319
